Date,ibovespa,ifix,ABEV3.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,CSAN3.SA,EGIE3.SA,EQTL3.SA,GGBR4.SA,HAPV3.SA,ITSA4.SA,ITUB4.SA,LREN3.SA,MGLU3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RENT3.SA,SUZB3.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-01-17,0.022369464265488803,,0.06672900049744279,,0.007407736001327825,,,,,0.003703790927468642,,0.03571395183918469,,0.0,,-0.008264217659391893,-0.011481536844628715,,0.0,,,,,0.020408163265306145,0.060943303970347085,-0.03636292991328072
2000-01-18,-0.008308868332133179,,0.0,,0.02696044207109871,,,,,0.07011020721133554,,-0.024630758815988307,,0.0,,0.0,0.004683153032000176,,0.0,,,,,-0.029999883334305588,0.053633916130946924,-0.05660508048387247
2000-01-19,-0.024185890632854812,,0.0,,-0.010740566694827591,,,,,-0.03965521261959126,,-0.010100470819042862,,0.0,,-0.00833401877999218,-0.007085472428318695,,0.0,,,,,-0.004123390113838443,-0.05120497988289263,0.07000605080170086
2000-01-20,-0.0167716084716657,,0.0,,-0.006031286735395547,,,,,-0.021543871271865522,,-0.02040808988616294,,0.0,,-0.03361305231676548,-0.00225313880750011,,0.0,,,,,-0.006211620203977253,-0.0158733564043696,0.009344389154559707
2000-01-21,-0.008325085870640958,,0.0,,0.00849587837051069,,,,,0.0,,-0.02083283738081254,,0.0,,-0.02898550194561922,-0.02126871336216718,,0.0,,,,,-0.020833171297646613,-0.016129146911851078,-0.027778939876110464
2000-01-24,-0.0036397792649993654,,0.0,,-0.02406760264542962,,,,,-0.018165029393564347,,-0.021276828179376372,,0.0,,0.005970286241767653,-0.007115457223364263,,0.0,,,,,0.02127642674053387,0.0006562168888635256,-0.01905011049199201
2000-01-25,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0
2000-01-26,0.00783643648362009,,-0.0062484746292778,,0.02342823182863496,,,,,-0.028405844485170695,,-0.005435198920751505,,0.0,,-0.008902311404540342,0.012008701192756543,,0.0,,,,,-0.008333333333333193,0.0222801961306609,0.06796129813882024
2000-01-27,-0.001403098509207834,,-0.04401974616627169,,-0.021687367694063098,,,,,0.00980943262651457,,-0.010929473411803059,,0.0,,0.01200661071015885,-0.0070814112387017625,,0.0,,,,,0.008403361344537563,0.025640923016724937,0.00909541586572038
2000-01-28,-0.0203149698495404,,0.0,,-0.02586195387084189,,,,,-0.005713819602317871,,-0.027623113975186464,,0.0,,-0.011864162331640782,0.0,,0.0,,,,,0.0,-0.03062459355934022,0.009007384210959701
2000-01-31,-0.02067646707302495,,0.0,,-0.00126443203137383,,,,,-0.042145905098659675,,-0.03409156561777782,,0.0,,0.01796417101884762,-0.01676956861624901,,0.0,,,,,0.0,-0.01998713711698319,-0.017859947726483028
2000-02-01,0.008176714669270169,,0.0,,0.0,,,,,-0.013999909925500376,,0.02352932815818254,,0.0,,0.02941182110323748,0.01940803119580692,,0.0,,,,,-0.020833171297646613,0.027960376192636804,0.018184725981940986
2000-02-02,0.02094177460355895,,0.0,,-0.010126069934980886,,,,,0.014198690310913253,,0.0,,0.0,,0.021428896761468197,0.01923064561813903,,0.0,,,,,-0.04255318444752221,0.02080029579383469,0.0
2000-02-03,0.034918188285510965,,0.0,,0.01022965614855198,,,,,0.023999865661120445,,-0.00574803224322995,,-0.1666664634667303,,0.057341878189908435,0.028301914594327293,,0.0,,,,,0.0,0.04388695280044197,0.0
2000-02-04,0.027209715300452464,,-0.06584836737112543,,0.012658772246647354,,,,,-0.023437371884444058,,0.011562177093898063,,0.0,,0.02910079021145906,0.025321157204534206,,0.0,,,,,0.037777555200795954,0.01801794150877556,0.0
2000-02-07,0.01081864822663392,,0.0,,-0.01624947471478133,,,,,0.048000012365921885,,0.06285596926098536,,0.0,,-0.003855494796427994,0.006621399251491189,,0.0,,,,,0.04925057901911045,0.002949569352040493,0.0
